Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDM22,OUT049,947.0674
FDJ03,OUT027,1410.7308
FDU14,OUT018,3283.7053
FDB33,OUT010,405.4523
FDP27,OUT046,3175.0396
FDO38,OUT010,243.2817
FDE28,OUT027,5813.499
FDO27,OUT035,1614.374
DRL23,OUT027,2678.045
FDS28,OUT046,898.89136
FDX24,OUT013,1477.0249
FDZ02,OUT035,1591.8163
FDL46,OUT045,1770.9059
FDS60,OUT027,4608.2935
NCO06,OUT017,643.3224
FDO16,OUT035,1444.854
FDC60,OUT049,1374.0881
FDA48,OUT018,3489.4395
FDZ36,OUT027,4878.8525
FDK27,OUT045,2061.6404
FDW23,OUT018,385.90338
FDM14,OUT018,1559.7427
FDM14,OUT013,1680.4584
FDW60,OUT018,2355.6038
FDE21,OUT013,1913.0905
NCM42,OUT035,1760.8557
FDY59,OUT010,234.10081
DRI49,OUT049,1338.0656
FDT28,OUT019,343.2801
FDQ22,OUT018,469.5597
FDR60,OUT049,1319.6012
FDC50,OUT019,342.62402
FDV24,OUT013,2417.089
DRF48,OUT010,334.85602
FDQ47,OUT046,654.421
DRN36,OUT049,1560.4829
NCY06,OUT035,2134.4429
FDE52,OUT035,1410.132
NCB54,OUT045,2070.9717
NCF31,OUT035,2470.7517
FDJ08,OUT027,5219.961
NCC07,OUT017,1705.3032
NCD19,OUT027,1750.9905
FDL46,OUT049,1609.493
FDM20,OUT045,4115.8794
NCI06,OUT010,470.20166
DRM11,OUT035,4316.409
NCH07,OUT018,2496.3135
FDS23,OUT013,2123.6902
FDO49,OUT018,587.5398
FDS35,OUT049,1035.2894
DRK39,OUT045,1317.2046
DRI39,OUT049,959.5905
FDV04,OUT017,2595.5583
NCN14,OUT035,3097.0972
FDH08,OUT013,4068.9575
FDS20,OUT046,3143.8652
FDV40,OUT049,1192.297
FDZ48,OUT010,232.87857
FDS24,OUT027,2244.8435
FDK44,OUT049,2893.9382
FDS48,OUT045,2398.7659
FDK26,OUT010,540.71826
FDD23,OUT045,3135.0078
NCH54,OUT017,2620.0066
NCP14,OUT010,271.98468
FDM60,OUT010,20.333733
FDV24,OUT017,2447.2258
FDH08,OUT018,3428.6892
FDS12,OUT027,3090.625
FDR39,OUT027,5019.2095
FDP12,OUT027,1119.4999
DRF60,OUT027,5879.5684
FDC09,OUT035,1798.3689
FDF50,OUT018,3052.7744
FDG28,OUT035,3839.2993
NCE19,OUT017,938.5445
NCM53,OUT010,243.19006
NCN18,OUT049,1857.9855
FDF32,OUT035,3271.51
FDF11,OUT013,4134.0557
DRI59,OUT049,4020.0967
NCG54,OUT035,2810.2322
FDM44,OUT046,1637.473
FDT57,OUT018,3471.306
FDV24,OUT046,2403.1611
FDI50,OUT019,636.0707
FDS09,OUT035,826.2841
NCC31,OUT027,3889.3994
FDQ07,OUT019,567.9376
FDC22,OUT017,3201.3313
FDZ56,OUT046,2792.619
FDZ40,OUT019,164.16228
FDS46,OUT027,2870.4421
DRD24,OUT045,2063.8567
FDV45,OUT017,3198.479
FDL26,OUT045,2384.803
FDA56,OUT018,1842.6676
FDN27,OUT046,1645.4224
FDM20,OUT049,4165.9326
FDO16,OUT017,1444.854
FDL03,OUT035,3308.0151
FDE58,OUT046,1834.6477
FDI02,OUT027,2901.5015
NCC55,OUT019,41.937206
FDR03,OUT018,3069.4976
FDB14,OUT017,1482.8588
FDR45,OUT013,4035.2249
NCN07,OUT017,2127.0896
FDM51,OUT019,382.41495
FDT52,OUT027,5884.9756
FDL26,OUT046,2393.6604
NCZ42,OUT046,4150.6484
DRI47,OUT019,352.7339
FDW40,OUT013,2174.4858
FDN34,OUT046,2787.347
FDS01,OUT035,3070.2666
NCG55,OUT045,1853.6886
FDC11,OUT035,1389.9683
FDX35,OUT018,3199.1985
NCB06,OUT046,2565.274
FDR09,OUT019,663.09216
FDC53,OUT017,1683.4293
FDY45,OUT013,4070.7974
FDA22,OUT010,469.5494
FDE02,OUT035,1592.6897
FDW21,OUT045,1659.9818
FDV34,OUT046,1131.8391
FDS59,OUT049,1675.1233
NCW17,OUT017,2221.9456
NCK54,OUT046,1852.6898
FDG17,OUT019,568.349
FDG35,OUT017,2496.8708
FDD08,OUT010,2.1605155
NCO07,OUT017,3555.2498
FDJ10,OUT010,404.67905
FDW36,OUT017,1673.7181
FDW21,OUT010,270.2878
FDY19,OUT017,1928.2079
DRE03,OUT013,741.62506
NCC55,OUT049,650.4267
FDH52,OUT010,160.83627
FDO09,OUT017,4486.61
FDU43,OUT045,3904.0645
FDX09,OUT010,439.09338
FDH40,OUT019,355.174
FDW58,OUT017,1553.1017
FDC47,OUT017,3783.5388
NCR41,OUT035,1672.065
DRG49,OUT035,3842.0618
FDC52,OUT027,3874.996
FDY13,OUT046,1105.6313
FDY35,OUT013,629.50885
FDI35,OUT017,3341.051
NCU18,OUT049,2144.8003
FDY33,OUT018,2469.0981
FDC15,OUT027,4184.596
FDU01,OUT049,2795.4875
NCU42,OUT046,2806.1128
NCV29,OUT018,2539.7341
NCY30,OUT017,3218.0925
FDQ46,OUT049,1965.5195
FDG58,OUT027,3925.5278
FDK33,OUT017,3485.4492
NCD07,OUT045,1850.9476
NCX29,OUT027,3909.0645
NCT42,OUT013,2271.2156
DRN59,OUT035,798.3375
FDI44,OUT035,1335.3529
FDA45,OUT049,2502.814
FDP31,OUT045,762.28687
FDY01,OUT046,1836.6857
FDT09,OUT018,1863.018
DRH03,OUT027,2308.42
FDA36,OUT018,2559.334
NCF31,OUT017,2470.7517
FDG14,OUT049,2493.191
FDG28,OUT027,5884.9756
FDU14,OUT049,4144.7456
FDY47,OUT019,339.42508
FDI56,OUT049,1443.7844
DRD01,OUT013,838.81226
FDM22,OUT046,908.8798
FDH33,OUT013,676.17694
DRZ24,OUT013,2015.926
NCQ38,OUT046,1660.741
FDO16,OUT027,2235.3757
FDU07,OUT027,3856.4463
NCB07,OUT013,3094.113
FDU48,OUT045,2023.5433
NCM43,OUT045,2622.4297
FDR31,OUT010,372.56375
DRK49,OUT018,456.66855
NCI30,OUT010,354.7363
DRD60,OUT017,3080.4053
NCG19,OUT046,3438.1172
FDH12,OUT035,1699.5778
FDM32,OUT035,1595.1438
FDM27,OUT035,2502.3303
NCU53,OUT027,3965.3018
NCQ18,OUT046,1575.5099
FDS10,OUT013,2802.189
FDB33,OUT027,4194.6455
FDI12,OUT013,1388.1111
NCW42,OUT013,3558.2554
NCC06,OUT018,1746.5116
FDW02,OUT017,2542.1008
NCD43,OUT017,1811.8628
FDM57,OUT018,1072.9858
FDA58,OUT017,3708.4153
FDK56,OUT046,3131.599
FDP52,OUT045,3716.4646
FDW20,OUT018,1813.2902
FDS52,OUT049,1682.277
NCT29,OUT018,1634.7993
NCL54,OUT013,2907.8154
FDC05,OUT045,3131.528
FDF34,OUT035,3309.8823
FDP03,OUT027,3059.662
FDD32,OUT010,245.15102
FDZ10,OUT045,1891.4086
FDZ40,OUT035,941.852
FDD51,OUT018,490.89908
NCY30,OUT019,359.0792
FDP58,OUT017,3455.1511
FDV49,OUT017,4450.4854
FDY24,OUT019,284.40692
NCO55,OUT017,1697.1807
FDR13,OUT017,1995.0001
FDS51,OUT017,1027.316
FDP26,OUT045,1629.4622
NCB54,OUT027,3065.8796
FDF32,OUT017,3209.6624
FDN31,OUT018,2782.608
DRM48,OUT017,677.0057
FDN20,OUT049,2740.5032
DRL01,OUT046,3722.4727
FDV56,OUT049,1693.673
DRH13,OUT027,2708.1433
FDA03,OUT017,2438.5894
FDF47,OUT027,5667.447
FDX32,OUT046,2416.1055
FDX57,OUT049,1560.4829
NCA30,OUT045,3027.38
FDO49,OUT013,749.45197
FDL04,OUT019,358.7388
DRM48,OUT035,677.0057
FDR16,OUT013,3192.482
NCC19,OUT018,2996.5547
NCE42,OUT045,3888.954
FDY24,OUT017,1019.6852
FDH19,OUT049,2727.6667
FDJ46,OUT013,2814.5818
FDN45,OUT010,413.33795
FDY08,OUT035,2134.818
FDZ37,OUT035,1467.2504
NCT30,OUT045,767.19904
DRY23,OUT018,518.7803
NCZ30,OUT018,1821.0206
FDC44,OUT018,1666.7776
FDB45,OUT035,1565.1656
FDY04,OUT013,2540.7292
FDM27,OUT046,2614.9182
FDZ43,OUT017,3956.6628
FDT39,OUT019,324.03986
NCC06,OUT019,318.14792
FDL15,OUT027,3888.1624
FDL57,OUT017,4343.521
FDU08,OUT046,1581.0514
FDK40,OUT017,4567.0757
FDQ12,OUT010,645.8509
FDS48,OUT017,2516.026
FDP09,OUT045,3357.1943
FDW21,OUT049,1579.4197
FDY25,OUT035,3330.8806
DRE13,OUT017,1420.31
FDV43,OUT019,11.971275
FDD22,OUT045,1851.8704
FDM46,OUT019,371.94852
NCO30,OUT010,455.41827
FDM25,OUT046,2813.0156
NCN41,OUT049,2144.8003
FDU24,OUT045,1474.2457
FDZ50,OUT046,3166.0483
FDP45,OUT013,4125.715
NCM54,OUT045,2066.0913
FDW10,OUT019,170.39612
FDP20,OUT017,2082.5657
FDK32,OUT046,2411.344
FDN52,OUT049,1373.2083
FDM58,OUT045,1800.671
FDZ46,OUT027,2817.215
NCA18,OUT018,1603.8793
FDD35,OUT046,2101.254
NCK31,OUT035,842.7948
FDI40,OUT027,2685.348
FDT50,OUT019,376.6465
NCT06,OUT046,2601.5066
FDT31,OUT035,3168.8684
FDT45,OUT049,923.262
FDT13,OUT045,3171.5847
FDO50,OUT045,1483.3458
NCU18,OUT010,331.61304
NCR54,OUT049,3195.7961
NCO18,OUT018,2554.1213
FDU09,OUT045,905.7759
FDT13,OUT018,2886.1533
FDE09,OUT046,1894.724
NCK53,OUT019,346.41742
FDG45,OUT049,3455.475
DRH15,OUT035,806.4654
FDO21,OUT019,717.35187
FDD14,OUT027,5146.2676
FDC09,OUT046,1666.0133
FDH45,OUT027,1263.784
FDV32,OUT046,967.51215
FDG12,OUT035,2027.5895
FDS32,OUT013,2092.025
NCL55,OUT018,3477.687
DRE01,OUT035,3775.683
DRE15,OUT049,1340.462
NCL42,OUT045,4045.3164
FDP31,OUT013,852.4904
FDN33,OUT018,1308.5529
FDZ59,OUT046,2534.8596
FDE45,OUT010,444.70193
FDJ07,OUT013,1899.6283
FDQ45,OUT018,2884.9778
FDM33,OUT027,5826.5967
FDO15,OUT010,249.31752
FDM46,OUT013,1540.9596
FDR03,OUT045,3270.1055
FDY49,OUT018,2543.7178
FDQ60,OUT045,1876.8507
FDW10,OUT049,2273.493
FDO51,OUT049,671.3153
FDJ40,OUT018,1410.7559
FDS20,OUT018,2838.6216
FDU45,OUT013,1883.3097
FDV02,OUT035,2792.4353
FDN09,OUT046,3940.4248
NCM55,OUT027,5262.0283
FDN23,OUT018,2139.0276
FDY31,OUT010,349.13477
FDW03,OUT010,311.0311
FDD14,OUT046,3007.121
FDV23,OUT017,2106.937
DRI03,OUT045,2621.9866
FDN13,OUT035,1583.307
FDF45,OUT027,1768.6746
FDU46,OUT035,1497.6395
FDB57,OUT049,3780.3806
FDV12,OUT049,1599.9592
FDQ58,OUT013,2445.394
NCA18,OUT017,1912.9772
FDH52,OUT049,994.9836
FDM24,OUT018,2074.4602
NCP43,OUT027,4902.2954
NCO18,OUT019,435.20276
FDM32,OUT017,1595.1438
NCL07,OUT017,676.8261
FDK03,OUT013,4119.0405
FDP59,OUT017,1460.7515
FDQ24,OUT049,4299.7407
FDQ16,OUT018,1612.3562
FDU44,OUT013,2562.8381
FDH28,OUT010,1.0277367
FDV28,OUT019,36.84609
FDM22,OUT045,888.3536
FDR56,OUT046,3140.3855
FDV39,OUT049,3172.5122
FDU37,OUT019,333.76346
FDQ11,OUT010,354.0712
FDX02,OUT045,3647.757
NCS42,OUT018,1307.3066
FDY57,OUT027,2491.46
FDB21,OUT049,3988.3826
FDE28,OUT017,3772.1428
FDQ55,OUT017,2024.6825
FDA48,OUT049,3658.7395
FDZ19,OUT045,2761.0005
NCC43,OUT045,3605.0278
NCV18,OUT046,1338.5762
NCA42,OUT018,2322.1604
FDY45,OUT046,3747.2634
NCC30,OUT045,2908.6682
FDM57,OUT013,1331.6536
FDL09,OUT010,337.83054
FDB09,OUT027,3063.4827
FDT44,OUT035,1941.8756
NCT06,OUT027,4266.3706
FDX26,OUT049,3382.526
FDK32,OUT013,2453.4158
DRA12,OUT046,2124.6177
FDO46,OUT010,548.50464
FDE52,OUT013,1333.2826
NCH42,OUT045,3908.9087
FDV08,OUT035,753.32104
FDB47,OUT018,3073.9314
FDC28,OUT010,273.957
FDD22,OUT046,1860.7279
FDS07,OUT027,2901.5015
DRI13,OUT045,3632.6304
FDG32,OUT018,3321.483
FDU14,OUT017,4063.5322
FDD28,OUT019,145.87323
NCP41,OUT017,1900.4976
FDS08,OUT049,2656.942
FDX47,OUT045,2513.3433
FDC53,OUT019,379.05545
FDQ19,OUT035,4222.947
FDL14,OUT045,2410.675
FDM33,OUT019,595.313
FDA51,OUT045,1863.1526
FDZ27,OUT018,595.2051
FDT04,OUT046,663.96014
DRC13,OUT049,2140.907
FDR16,OUT027,5343.318
FDQ03,OUT027,5983.841
FDE38,OUT035,2771.6194
DRH23,OUT027,1766.3724
FDT11,OUT019,375.64835
FDD09,OUT035,3073.112
FDR40,OUT045,1313.6398
FDX07,OUT017,3225.286
FDR07,OUT035,1486.3563
FDA51,OUT017,1922.2378
FDT59,OUT019,756.86993
FDF20,OUT017,3268.2668
FDR13,OUT045,1854.472
FDY26,OUT049,3444.1035
FDW04,OUT017,2123.0469
FDK52,OUT017,3821.6897
FDN60,OUT049,2530.5435
FDM09,OUT019,401.71298
FDP46,OUT049,1356.028
FDB50,OUT019,331.3662
NCQ29,OUT049,4046.5366
FDP16,OUT027,5935.959
FDX33,OUT018,2471.495
FDP07,OUT010,0.0
FDN22,OUT046,3751.378
FDF39,OUT049,4158.1177
FDS21,OUT017,1064.4025
NCM42,OUT013,1564.6193
FDK50,OUT019,412.07495
DRF13,OUT027,3877.2124
FDH35,OUT018,2256.3113
FDP60,OUT018,1283.0526
DRJ49,OUT027,3055.461
NCT42,OUT019,232.86536
FDE38,OUT049,2781.9768
FDI04,OUT049,3220.0198
NCH54,OUT045,2554.1384
FDT56,OUT049,959.5905
DRD15,OUT018,3053.9443
FDV58,OUT013,2367.8667
FDP21,OUT049,3231.8103
FDH05,OUT013,3830.544
FDR10,OUT027,4277.3003
NCP06,OUT045,2348.7432
FDF33,OUT049,2097.1824
DRK37,OUT013,3201.3418
DRH49,OUT045,1033.9047
FDT58,OUT013,2834.8752
FDD41,OUT018,1451.304
FDP40,OUT018,1554.0717
FDM51,OUT027,2680.5938
FDO45,OUT010,239.88214
FDW33,OUT010,268.34772
FDY24,OUT045,960.21497
FDB10,OUT010,495.99774
FDM40,OUT035,2117.1863
NCI06,OUT017,3006.1409
FDW12,OUT019,362.97998
FDX48,OUT027,3835.0327
NCW05,OUT027,2653.7266
FDX27,OUT017,1550.539
DRM37,OUT045,3131.528
FDA38,OUT045,3773.8135
FDR36,OUT046,674.67883
FDZ45,OUT046,3214.4993
FDG05,OUT017,2592.5007
FDK28,OUT013,4262.731
FDV47,OUT045,1306.4861
FDN21,OUT045,2395.1123
FDP20,OUT027,3006.3772
FDI35,OUT045,3223.5464
DRY23,OUT013,678.57416
FDA56,OUT017,2247.1035
FDB09,OUT013,2119.504
NCO26,OUT027,2795.5698
FDQ49,OUT018,2101.1584
FDI52,OUT027,3069.2976
FDZ44,OUT027,2869.0322
FDZ09,OUT018,2474.1685
FDY03,OUT049,1848.9082
NCG42,OUT017,2148.231
DRI13,OUT027,5914.1807
FDQ32,OUT013,2096.743
FDW16,OUT035,1505.7235
FDU27,OUT046,790.07214
FDR28,OUT010,424.31924
FDQ49,OUT010,349.85306
FDS37,OUT046,1879.3752
FDW26,OUT018,3458.0933
FDX12,OUT018,3224.5325
NCP06,OUT013,2394.444
FDW45,OUT010,327.3184
NCN30,OUT049,1579.0326
FDN24,OUT049,937.31995
NCL41,OUT027,1143.7731
FDR02,OUT019,394.58853
FDD09,OUT010,518.69324
FDS33,OUT010,231.86084
FDU22,OUT045,1882.7904
FDI53,OUT013,2648.6536
DRH01,OUT049,2825.2388
FDX32,OUT013,2181.4902
NCP30,OUT018,445.3835
FDB60,OUT045,3184.67
FDB14,OUT049,1484.1494
NCP02,OUT035,941.1353
FDJ10,OUT017,2203.1301
FDG34,OUT046,1784.0444
NCB18,OUT017,1363.1846
FDM16,OUT049,1113.5137
FDW25,OUT018,1211.2136
FDB35,OUT010,236.77435
DRN11,OUT013,2172.8567
FDF41,OUT019,591.041
FDH16,OUT045,1307.7145
NCQ50,OUT018,3009.656
DRH23,OUT018,734.9972
DRJ37,OUT013,2426.2078
DRJ24,OUT027,5248.0938
FDY16,OUT035,3126.2134
FDQ27,OUT045,1954.0157
FDZ33,OUT045,2405.8062
FDF29,OUT045,2103.4934
FDA08,OUT049,2604.88
FDG31,OUT046,982.18115
FDE34,OUT019,474.95984
NCR30,OUT027,1993.6355
FDV33,OUT035,3784.6843
DRZ24,OUT018,1780.8809
NCL54,OUT035,2852.9832
FDR12,OUT049,2871.7463
NCC54,OUT046,3633.9326
DRN59,OUT013,767.5123
FDX50,OUT019,325.2619
FDV31,OUT027,4758.1035
NCA29,OUT027,4570.8823
FDW60,OUT049,2720.7515
FDX08,OUT017,3321.8057
DRD49,OUT013,3794.204
FDD33,OUT046,3733.3113
FDW35,OUT013,647.0138
FDJ36,OUT017,1674.91
FDV51,OUT035,2841.2156
FDW36,OUT046,1616.7072
FDH35,OUT046,2492.0437
NCS30,OUT027,2892.5784
FDN49,OUT017,667.30145
FDL08,OUT018,3193.9468
FDI09,OUT013,3809.9587
FDP19,OUT018,1870.4584
FDU21,OUT010,0.0
NCP41,OUT045,1651.8834
FDY10,OUT013,1875.6884
FDP12,OUT018,419.5614
NCN26,OUT049,1873.2655
FDK44,OUT013,2895.0479
FDC28,OUT049,1671.1705
FDJ41,OUT027,6219.094
NCT29,OUT035,2134.4429
NCH42,OUT019,579.5108
FDU60,OUT018,2405.7925
FDS02,OUT045,3130.0862
FDC51,OUT046,2070.4978
FDU03,OUT013,3265.68
FDX39,OUT045,3366.8044
NCY05,OUT010,4.8340154
NCL06,OUT027,6351.6323
FDD32,OUT035,1437.4023
NCN41,OUT045,2068.5747
NCX53,OUT049,2106.2446
FDU57,OUT019,353.1206
FDQ23,OUT046,1657.8602
FDQ52,OUT045,3889.2737
FDC14,OUT045,660.5773
FDY09,OUT035,2994.4626
FDQ28,OUT045,2402.4866
FDV25,OUT046,3538.6401
FDJ07,OUT035,1998.1113
DRB25,OUT049,1675.1233
FDK52,OUT019,525.3887
FDY52,OUT027,1803.8853
FDB28,OUT046,3107.4878
FDT36,OUT035,654.7351
FDV25,OUT017,3589.488
NCN07,OUT027,3045.8599
FDC57,OUT017,3161.3413
FDQ03,OUT018,3276.1648
FDU23,OUT017,2936.0715
NCX41,OUT035,3520.777
NCD06,OUT035,804.0682
FDW08,OUT045,1638.0955
NCU29,OUT017,2582.125
NCE06,OUT013,2281.139
FDV52,OUT010,205.4694
FDB02,OUT017,2938.38
NCR18,OUT045,660.58325
FDK16,OUT049,1567.6366
NCQ29,OUT010,845.9433
FDZ01,OUT019,404.9302
FDW27,OUT035,2406.6418
FDD17,OUT018,3433.3154
FDW39,OUT013,2812.0383
DRH59,OUT045,1104.4319
FDS52,OUT013,1656.9807
FDU40,OUT027,5240.85
NCF54,OUT013,2747.101
FDH46,OUT045,1648.012
NCP14,OUT049,1713.5399
FDH50,OUT049,3217.2031
DRF15,OUT010,342.91986
FDV27,OUT027,2309.7815
NCJ06,OUT049,2037.2576
FDN02,OUT018,2989.792
FDQ51,OUT049,809.7328
FDQ07,OUT017,3711.6035
FDS45,OUT049,1765.9402
NCJ06,OUT045,2021.8356
FDD36,OUT035,2002.4119
FDY25,OUT045,3421.597
FDU52,OUT046,2431.0261
DRK47,OUT017,3866.9492
NCL30,OUT017,2111.682
FDN22,OUT035,3591.0688
NCF30,OUT027,3092.0586
FDK03,OUT035,4250.062
FDT45,OUT017,930.4166
NCC54,OUT027,5760.434
FDP08,OUT018,2993.1194
FDU44,OUT046,2562.9958
DRG39,OUT035,954.222
FDU32,OUT049,2171.019
FDY27,OUT049,2904.5884
NCP54,OUT013,2124.642
NCZ41,OUT049,2087.6948
DRL49,OUT013,2126.5083
FDI05,OUT018,1191.2645
FDY56,OUT045,3647.757
DRC13,OUT013,2115.6106
NCV29,OUT017,3047.628
FDR24,OUT049,1292.0155
FDZ34,OUT018,2752.0857
FDP37,OUT035,2112.7512
FDX08,OUT027,5028.775
FDS57,OUT045,2073.3362
NCG18,OUT049,1710.0421
FDK25,OUT018,2532.281
FDH53,OUT049,1303.2324
DRI59,OUT018,3452.3118
FDA52,OUT046,2798.4956
FDT20,OUT010,15.093846
FDE36,OUT019,461.62323
FDI24,OUT017,2887.8232
FDB28,OUT018,3161.1648
FDV11,OUT017,2868.1477
FDP01,OUT046,2332.7925
FDD34,OUT027,4263.7627
FDJ50,OUT027,1545.3623
FDZ44,OUT013,1903.7566
DRO59,OUT035,1206.3317
DRB48,OUT045,629.2285
FDR21,OUT018,2465.5994
NCE42,OUT010,1306.1194
FDO23,OUT046,1449.6244
NCE30,OUT018,3185.1243
FDQ22,OUT035,694.03076
FDY01,OUT045,1827.8281
FDS08,OUT017,2731.5535
FDG28,OUT018,3007.945
FDQ51,OUT018,622.65436
FDB05,OUT017,3957.7283
FDO56,OUT049,1902.026
FDE02,OUT018,1357.5093
FDN45,OUT017,3489.1614
FDS09,OUT013,833.91296
NCA54,OUT018,2704.454
FDP09,OUT010,551.61115
FDC53,OUT045,1569.0443
NCM55,OUT017,3198.479
FDL09,OUT018,2591.432
FDA11,OUT019,351.64124
FDA50,OUT045,1531.2074
FDC23,OUT017,3067.9019
FDE22,OUT049,2661.4155
FDD23,OUT046,3143.8652
NCA29,OUT049,2909.0383
FDK38,OUT046,2434.144
DRC13,OUT046,2073.5388
NCP43,OUT049,2881.6453
FDX28,OUT049,1629.1819
FDF08,OUT049,1404.4896
FDZ33,OUT046,2414.6636
FDD10,OUT049,2803.1619
FDO58,OUT017,2568.5117
FDI50,OUT017,3978.6907
FDO58,OUT045,2452.6255
FDX08,OUT013,3064.6677
NCK17,OUT010,0.0
FDF39,OUT035,4325.4644
FDU45,OUT010,234.66347
NCJ18,OUT018,1670.6082
DRC27,OUT019,560.1752
DRC25,OUT035,1369.2404
FDU59,OUT035,2476.7705
FDU28,OUT035,2768.17
NCP30,OUT046,630.65314
FDB39,OUT018,710.8127
FDE41,OUT013,1269.354
DRH11,OUT010,127.24556
FDA58,OUT045,3649.3303
FDU50,OUT046,1856.464
FDM34,OUT013,2054.5134
FDM44,OUT027,2677.538
FDR39,OUT045,3051.2886
FDM25,OUT045,2769.4485
FDQ49,OUT049,2400.0706
DRH25,OUT018,668.27423
FDM09,OUT027,4530.299
FDL44,OUT019,382.38275
NCR42,OUT018,438.808
DRL59,OUT046,925.24884
FDX43,OUT013,2619.0625
DRK47,OUT010,594.04034
FDU48,OUT018,1718.6898
FDY12,OUT045,743.5413
NCN43,OUT018,1840.2705
NCM55,OUT018,2836.2246
FDQ21,OUT027,1869.9049
FDX13,OUT035,3977.3743
NCK30,OUT027,5875.548
FDG20,OUT049,2859.2285
DRG27,OUT017,699.66064
FDY14,OUT018,3985.431
FDP59,OUT035,1460.7515
FDU60,OUT017,2660.575
NCC18,OUT019,332.99246
DRJ39,OUT017,3684.5115
FDS07,OUT049,1932.0442
FDM08,OUT027,5900.0156
FDP51,OUT045,2053.7578
FDU16,OUT035,1340.3533
FDH12,OUT013,1707.2064
DRE48,OUT010,609.7187
NCL42,OUT027,6130.69
FDR21,OUT045,2654.0552
NCW29,OUT035,2204.3845
FDO11,OUT013,3780.8818
NCM31,OUT049,2089.072
FDV35,OUT019,289.23495
FDF58,OUT017,1122.172
NCE43,OUT049,2831.3687
FDA02,OUT035,2491.1108
DRL37,OUT010,0.0
FDR24,OUT018,1240.8971
FDW59,OUT049,1383.1945
FDS22,OUT049,690.5818
FDW24,OUT017,805.5921
FDU24,OUT035,1601.0111
FDA21,OUT027,5279.4497
FDH58,OUT027,2878.0637
FDW36,OUT018,1385.2717
FDI45,OUT027,4565.7163
FDU01,OUT018,2195.5007
FDF35,OUT027,2710.832
FDU43,OUT019,334.8533
FDE24,OUT019,305.40805
